"","Binomial","BodySize","LifeSpan","TrophicLevel","lpi"
"394","Asio_otus",262.75,27.8,"carnivore","C-LPI"
"395","Athene_cunicularia",150.6,11,"carnivore","C-LPI"
"396","Bubo_scandiacus",1954,28,"carnivore","C-LPI"
"397","Bubo_virginianus",1377.25,29,"carnivore","C-LPI"
"398","Glaucidium_gnoma",65.525,NA,"carnivore","C-LPI"
"399","Megascops_asio",NA,NA,"carnivore","C-LPI"
"400","Megascops_kennicottii",180,19,"omnivore","C-LPI"
"401","Strix_nebulosa",1078.75,27,"carnivore","C-LPI"
"402","Strix_occidentalis",609.5,25,"carnivore","C-vertebrates"
"403","Strix_varia",716.5,24,"carnivore","C-LPI"
"404","Surnia_ulula",308.5,16.16666667,"carnivore","C-LPI"
"405","Tyto_alba",381.6,34,"carnivore","C-vertebrates"
"406","Aix_sponsa",657.5,22.5,"herbivore","C-vertebrates"
"407","Anas_acuta",872.25,27.417,"herbivore","C-vertebrates"
"408","Anas_americana",786,21.33333333,"herbivore","C-vertebrates"
"409","Anas_clypeata",613,22.34,"carnivore","C-vertebrates"
"410","Anas_crecca",343.8,27.1,"herbivore","C-vertebrates"
"411","Anas_cyanoptera",383,12.917,"herbivore","C-vertebrates"
"412","Anas_discors",398.5,23.25,"herbivore","C-vertebrates"
"413","Anas_platyrhynchos",1122,29.1,"omnivore","C-vertebrates"
"414","Anas_rubripes",1153.666667,29.1,"omnivore","C-vertebrates"
"415","Anas_strepera",850,28,"herbivore","C-vertebrates"
"416","Anser_albifrons",2387.5,47,"herbivore","C-vertebrates"
"417","Aythya_affinis",788.5,18.8,"carnivore","C-vertebrates"
"418","Aythya_americana",1056.25,22.6,"herbivore","C-vertebrates"
"419","Aythya_collaris",730,20.41666667,"herbivore","C-vertebrates"
"420","Aythya_marila",959,22.1,"carnivore","C-vertebrates"
"421","Aythya_valisineria",1218.666667,29.5,"herbivore","C-vertebrates"
"422","Branta_bernicla",1347.25,28.83333333,"herbivore","C-vertebrates"
"423","Branta_hutchinsii",3661.666667,42,"herbivore","C-vertebrates"
"424","Bucephala_albeola",400,18.7,"carnivore","C-vertebrates"
"425","Bucephala_clangula",895.93,18.41666667,"carnivore","C-vertebrates"
"426","Bucephala_islandica",978.575,18,"carnivore","C-vertebrates"
"427","Clangula_hyemalis",814,22.7,"carnivore","C-vertebrates"
"428","Cygnus_buccinator",10300,32.5,"herbivore","C-vertebrates"
"429","Cygnus_columbianus",6350,24.1,"herbivore","C-vertebrates"
"430","Histrionicus_histrionicus",655.625,14.6,"carnivore","C-vertebrates"
"431","Lophodytes_cucullatus",615.25,12.875,"omnivore","C-vertebrates"
"432","Melanitta_fusca",1732,21.41666667,"carnivore","C-vertebrates"
"433","Mergus_merganser",1462.5,14.83333333,"carnivore","C-vertebrates"
"434","Mergus_serrator",1042.583333,21.33333333,"carnivore","C-vertebrates"
"435","Oxyura_jamaicensis",550,13.6,"carnivore","C-vertebrates"
"436","Somateria_mollissima",2092,37.8,"carnivore","C-vertebrates"
"437","Somateria_spectabilis",1650,18.91666667,"carnivore","C-vertebrates"
"438","Aeronautes_saxatalis",31.95,10,"carnivore","C-vertebrates"
"439","Chaetura_pelagica",23.5,15,"carnivore","C-vertebrates"
"440","Chaetura_vauxi",18.225,5.1,"carnivore","C-vertebrates"
"441","Cypseloides_niger",42.45,16.1,"carnivore","C-vertebrates"
"442","Archilochus_alexandri",3.45,11,"herbivore","C-vertebrates"
"443","Archilochus_colubris",3.1425,9.1,"herbivore","C-vertebrates"
"444","Calypte_anna",4.4,8.5,"herbivore","C-vertebrates"
"445","Selasphorus_rufus",3.5,8.916666667,"herbivore","C-vertebrates"
"446","Chordeiles_minor",79.3,10,"carnivore","C-vertebrates"
"447","Phalaenoptilus_nuttallii",48.925,3,"carnivore","C-vertebrates"
"448","Alca_torda",720,42,"carnivore","C-vertebrates"
"449","Brachyramphus_marmoratus",222,10,"carnivore","C-vertebrates"
"450","Cepphus_columba",487,14,"carnivore","C-vertebrates"
"451","Cepphus_grylle",390.5,29.91666667,"carnivore","C-vertebrates"
"452","Cerorhinca_monocerata",505,28.25,"carnivore","C-vertebrates"
"453","Fratercula_arctica",437.9166667,40.83333333,"carnivore","C-vertebrates"
"454","Fratercula_cirrhata",775,6,"carnivore","C-vertebrates"
"455","Ptychoramphus_aleuticus",184,16.2,"carnivore","C-vertebrates"
"456","Synthliboramphus_antiquus",206,5,"carnivore","C-vertebrates"
"457","Uria_aalge",991.5,42.83333333,"carnivore","C-vertebrates"
"458","Uria_lomvia",964,29,"carnivore","C-vertebrates"
"459","Charadrius_melodus",54.40833333,14,"carnivore","C-vertebrates"
"460","Charadrius_semipalmatus",52,20.83333333,"carnivore","C-vertebrates"
"461","Charadrius_vociferus",94.275,10.91666667,"carnivore","C-vertebrates"
"462","Pluvialis_dominica",151,25.91666667,"carnivore","C-vertebrates"
"463","Pluvialis_squatarola",224,25.58333333,"carnivore","C-vertebrates"
"464","Chlidonias_niger",63,21,"carnivore","C-vertebrates"
"465","Chroicocephalus_philadelphia",191,NA,"carnivore","C-vertebrates"
"466","Hydroprogne_caspia",654.6666667,30,"carnivore","C-vertebrates"
"467","Larus_californicus",670.25,30,"omnivore","C-vertebrates"
"468","Larus_canus",415.75,33.7,"carnivore","C-vertebrates"
"469","Larus_delawarensis",518.5,31.8,"omnivore","C-vertebrates"
"470","Larus_fuscus",1010.25,49,"carnivore","C-vertebrates"
"471","Larus_glaucescens",1010,32,"carnivore","C-vertebrates"
"472","Larus_glaucoides",863,33,"carnivore","C-vertebrates"
"473","Larus_hyperboreus",1605.5,21.08333333,"carnivore","C-vertebrates"
"474","Larus_marinus",1658.5,29.16666667,"omnivore","C-vertebrates"
"475","Pagophila_eburnea",550,23.91666667,"omnivore","C-vertebrates"
"476","Rhodostethia_rosea",187,NA,"carnivore","C-vertebrates"
"477","Rissa_tridactyla",407.75,28.5,"omnivore","C-vertebrates"
"478","Sterna_dougallii",112,25.7,"carnivore","C-vertebrates"
"479","Sterna_forsteri",150,15.83333333,"carnivore","C-vertebrates"
"480","Sterna_hirundo",124,33,"carnivore","C-vertebrates"
"481","Sterna_paradisaea",110,34,"carnivore","C-vertebrates"
"482","Xema_sabini",195,8.083333333,"omnivore","C-vertebrates"
"483","Himantopus_mexicanus",169,19.1,"carnivore","C-vertebrates"
"484","Recurvirostra_americana",309.25,15,"carnivore","C-vertebrates"
"485","Actitis_macularius",41.85833333,12,"carnivore","C-vertebrates"
"486","Arenaria_interpres",135,21.41666667,"carnivore","C-vertebrates"
"487","Arenaria_melanocephala",118.9,NA,"carnivore","C-vertebrates"
"488","Bartramia_longicauda",152.25,8.916666667,"carnivore","C-vertebrates"
"489","Calidris_alba",55.55,18.58333333,"carnivore","C-vertebrates"
"490","Calidris_alpina",54.6,28.834,"carnivore","C-vertebrates"
"491","Calidris_bairdii",39.41666667,NA,"carnivore","C-vertebrates"
"492","Calidris_canutus",137.0666667,26.66666667,"carnivore","C-vertebrates"
"493","Calidris_fuscicollis",44.55,7,"carnivore","C-vertebrates"
"494","Calidris_himantopus",57.5,11.1,"carnivore","C-vertebrates"
"495","Calidris_maritima",69.475,20.75,"carnivore","C-vertebrates"
"496","Calidris_mauri",26.71666667,9.2,"carnivore","C-vertebrates"
"497","Calidris_melanotos",85,5.916666667,"carnivore","C-vertebrates"
"498","Calidris_minutilla",23.45,16,"carnivore","C-vertebrates"
"499","Calidris_ptilocnemis",79.65,7.34,"carnivore","C-vertebrates"
"500","Calidris_pusilla",26.36666667,19.3,"carnivore","C-vertebrates"
"501","Gallinago_delicata",116,18.2,NA,"C-vertebrates"
"502","Limnodromus_griseus",110.375,13.3,"carnivore","C-vertebrates"
"503","Limnodromus_scolopaceus",108.125,13.3,"carnivore","C-vertebrates"
"504","Limosa_fedoa",370.25,13.7,"carnivore","C-vertebrates"
"505","Limosa_haemastica",255.5,NA,"carnivore","C-vertebrates"
"506","Numenius_americanus",635.75,10,"carnivore","C-vertebrates"
"507","Numenius_phaeopus",383,16.1,"carnivore","C-vertebrates"
"508","Phalaropus_fulicarius",55.9,6.083333333,"carnivore","C-vertebrates"
"509","Phalaropus_lobatus",35,9.917,"carnivore","C-vertebrates"
"510","Phalaropus_tricolor",59.15,10,"carnivore","C-vertebrates"
"511","Scolopax_minor",196.25,20.9,"carnivore","C-vertebrates"
"512","Tringa_flavipes",81.7,4.8,"carnivore","C-vertebrates"
"513","Tringa_incana",111.25,NA,"carnivore","C-vertebrates"
"514","Tringa_melanoleuca",170,NA,"carnivore","C-vertebrates"
"515","Tringa_semipalmata",NA,NA,"carnivore","C-vertebrates"
"516","Tringa_solitaria",48.5,NA,"carnivore","C-vertebrates"
"517","Stercorarius_longicaudus",298,22,"carnivore","C-vertebrates"
"518","Stercorarius_parasiticus",450,31.1,"carnivore","C-vertebrates"
"519","Stercorarius_pomarinus",694,NA,"carnivore","C-vertebrates"
"520","Ardea_alba",873.5,22.834,"carnivore","C-vertebrates"
"521","Ardea_herodias",2388.666667,24.5,"carnivore","C-vertebrates"
"522","Botaurus_lentiginosus",706,8.333333333,"carnivore","C-vertebrates"
"523","Butorides_virescens",212,11.6,"carnivore","C-vertebrates"
"524","Ixobrychus_exilis",86.3,NA,"carnivore","C-vertebrates"
"525","Nycticorax_nycticorax",800,21.1,"carnivore","C-vertebrates"
"526","Plegadis_chihi",583.75,20.4,"carnivore","C-vertebrates"
"527","Patagioenas_fasciata",352.5,29.2,"herbivore","C-vertebrates"
"528","Zenaida_macroura",119,31.33333333,"herbivore","C-vertebrates"
"529","Megaceryle_alcyon",152.1666667,NA,"carnivore","C-vertebrates"
"530","Coccyzus_americanus",61,5,"carnivore","C-vertebrates"
"531","Coccyzus_erythropthalmus",49.57333333,5,"carnivore","C-vertebrates"
"532","Accipiter_cooperii",452,20.33333333,"carnivore","C-vertebrates"
"533","Accipiter_gentilis",988.75,22,"carnivore","C-vertebrates"
"534","Accipiter_striatus",138.5,19.9,"carnivore","C-vertebrates"
"535","Aquila_chrysaetos",4383,48,"carnivore","C-vertebrates"
"536","Buteo_jamaicensis",1126,30.66666667,"carnivore","C-vertebrates"
"537","Buteo_lagopus",945.5,18.8,"carnivore","C-vertebrates"
"538","Buteo_lineatus",616,22.41666667,"carnivore","C-vertebrates"
"539","Buteo_platypterus",437,18.33333333,"carnivore","C-vertebrates"
"540","Buteo_regalis",1469.5,23.7,"carnivore","C-vertebrates"
"541","Buteo_swainsoni",969.57,24.08333333,"carnivore","C-vertebrates"
"542","Circus_cyaneus",436.5,17.1,"carnivore","C-vertebrates"
"543","Haliaeetus_leucocephalus",4740,48,"carnivore","C-vertebrates"
"544","Pandion_haliaetus",1527.5,32,"carnivore","C-vertebrates"
"545","Cathartes_aura",1776,20.8,"carnivore","C-vertebrates"
"546","Falco_columbarius",187.575,16,"carnivore","C-vertebrates"
"547","Falco_mexicanus",754.5,20,"carnivore","C-vertebrates"
"548","Falco_peregrinus",827.25,25,"carnivore","C-vertebrates"
"549","Falco_rusticolus",1415.75,13.5,"carnivore","C-vertebrates"
"550","Falco_sparverius",115.5,17,"omnivore","C-vertebrates"
"551","Colinus_virginianus",173.3333333,6.416666667,"herbivore","C-vertebrates"
"552","Bonasa_umbellus",532,11,"herbivore","C-vertebrates"
"553","Centrocercus_urophasianus",1930,7,"herbivore","C-vertebrates"
"554","Dendragapus_fuliginosus",1059,14,"herbivore","C-vertebrates"
"555","Dendragapus_obscurus",1059,14,"herbivore","C-vertebrates"
"556","Falcipennis_canadensis",456,13,"herbivore","C-vertebrates"
"557","Lagopus_lagopus",595,9,"herbivore","C-vertebrates"
"558","Lagopus_leucura",351,15,"herbivore","C-vertebrates"
"559","Lagopus_muta",521,6.083333333,"herbivore","C-vertebrates"
"560","Meleagris_gallopavo",5811,13,"omnivore","C-vertebrates"
"561","Tympanuchus_phasianellus",851,7.5,"herbivore","C-vertebrates"
"562","Gavia_adamsii",5212.5,30,"carnivore","C-vertebrates"
"563","Gavia_immer",4400,24.08333333,"carnivore","C-vertebrates"
"564","Gavia_pacifica",2665,28,"carnivore","C-vertebrates"
"565","Gavia_stellata",1603,23.7,"carnivore","C-vertebrates"
"566","Grus_americana",6850,40,"carnivore","C-vertebrates"
"567","Grus_canadensis",4170,36.58333333,"omnivore","C-vertebrates"
"568","Coturnicops_noveboracensis",60.9,NA,"carnivore","C-vertebrates"
"569","Fulica_americana",620.5,22.33333333,"omnivore","C-vertebrates"
"570","Porzana_carolina",79.65,NA,"omnivore","C-vertebrates"
"571","Rallus_limicola",84.1,NA,"omnivore","C-vertebrates"
"572","Psaltriparus_minimus",5.3,9.083333333,"carnivore","C-vertebrates"
"573","Eremophila_alpestris",34.25,8,"omnivore","C-vertebrates"
"574","Bombycilla_cedrorum",32.04816667,12.66666667,"herbivore","C-vertebrates"
"575","Bombycilla_garrulus",54.45,13.5,"herbivore","C-vertebrates"
"576","Cardinalis_cardinalis",43.05,28.5,"omnivore","C-vertebrates"
"577","Passerina_amoena",15.15,9.916666667,"omnivore","C-vertebrates"
"578","Passerina_cyanea",14.7,11,"herbivore","C-vertebrates"
"579","Pheucticus_ludovicianus",45.1,24,"carnivore","C-vertebrates"
"580","Pheucticus_melanocephalus",45.55,25,"carnivore","C-vertebrates"
"581","Piranga_ludoviciana",30,15.3,"carnivore","C-vertebrates"
"582","Piranga_olivacea",28.825,11.91666667,"carnivore","C-vertebrates"
"583","Certhia_americana",9,8.166666667,"carnivore","C-vertebrates"
"584","Cinclus_mexicanus",55.9,7.25,"carnivore","C-vertebrates"
"585","Corvus_brachyrhynchos",453,20,"omnivore","C-vertebrates"
"586","Corvus_caurinus",295.75,16.75,"omnivore","C-vertebrates"
"587","Corvus_corax",1097,69,"omnivore","C-vertebrates"
"588","Cyanocitta_cristata",85.25,26.2,"omnivore","C-vertebrates"
"589","Cyanocitta_stelleri",120,16.1,"omnivore","C-vertebrates"
"590","Nucifraga_columbiana",130,17.41666667,"herbivore","C-vertebrates"
"591","Perisoreus_canadensis",71.1,19.2,"omnivore","C-vertebrates"
"592","Pica_hudsonia",189,21.7,"omnivore","C-vertebrates"
"593","Ammodramus_bairdii",17.9,4.6,"herbivore","C-vertebrates"
"594","Ammodramus_henslowii",12.775,7,"omnivore","C-vertebrates"
"595","Ammodramus_nelsoni",16.825,10,"carnivore","C-vertebrates"
"596","Ammodramus_savannarum",17.9,9.083333333,"carnivore","C-vertebrates"
"597","Calamospiza_melanocorys",37.4,4.833333333,"omnivore","C-vertebrates"
"598","Calcarius_lapponicus",28,6,"omnivore","C-vertebrates"
"599","Calcarius_ornatus",20.125,4,"herbivore","C-vertebrates"
"600","Calcarius_pictus",26.4,5,"omnivore","C-vertebrates"
"601","Chondestes_grammacus",28.52475,7.833333333,"herbivore","C-vertebrates"
"602","Junco_hyemalis",19.475,11.33333333,"herbivore","C-vertebrates"
"603","Melospiza_georgiana",16.7875,6.5833333335,"omnivore","C-vertebrates"
"604","Melospiza_lincolnii",17.4,7.6,"omnivore","C-vertebrates"
"605","Melospiza_melodia",23.35,12,"omnivore","C-vertebrates"
"606","Passerculus_sandwichensis",20.125,6.916666667,"omnivore","C-vertebrates"
"607","Passerella_iliaca",33.8,10.33333333,"omnivore","C-vertebrates"
"608","Pipilo_erythrophthalmus",40.3,12.3,"omnivore","C-vertebrates"
"609","Pipilo_maculatus",39.85,12.3,"carnivore","C-vertebrates"
"610","Plectrophenax_nivalis",40.33333333,9.6,"herbivore","C-vertebrates"
"611","Pooecetes_gramineus",25.15,7.9,"omnivore","C-vertebrates"
"612","Spizella_arborea",NA,NA,"omnivore","C-vertebrates"
"613","Spizella_breweri",10.9,6.2,"omnivore","C-vertebrates"
"614","Spizella_pallida",11.7,6.916666667,"herbivore","C-vertebrates"
"615","Spizella_passerina",12.3,11.8,"omnivore","C-vertebrates"
"616","Spizella_pusilla",12.8,10.33333333,"herbivore","C-vertebrates"
"617","Zonotrichia_albicollis",25.35,14.91666667,"omnivore","C-vertebrates"
"618","Zonotrichia_atricapilla",31.625,10.5,"omnivore","C-vertebrates"
"619","Zonotrichia_leucophrys",27.96,13.34,"carnivore","C-vertebrates"
"620","Zonotrichia_querula",35.55,11.7,"omnivore","C-vertebrates"
"621","Leucosticte_tephrocotis",32.6,24,"omnivore","C-vertebrates"
"622","Loxia_curvirostra",39.5,16.08333333,"herbivore","C-vertebrates"
"623","Loxia_leucoptera",29.8,4,"omnivore","C-vertebrates"
"624","Pinicola_enucleator",57,9.8,"omnivore","C-vertebrates"
"625","Hirundo_rustica",19,16,"carnivore","C-vertebrates"
"626","Petrochelidon_pyrrhonota",22.4,11.83333333,"carnivore","C-vertebrates"
"627","Progne_subis",51.45,13.8,"carnivore","C-vertebrates"
"628","Riparia_riparia",13.4,10,"carnivore","C-vertebrates"
"629","Stelgidopteryx_serripennis",15.8,5.916666667,"carnivore","C-vertebrates"
"630","Tachycineta_bicolor",20.8,12.1,"carnivore","C-vertebrates"
"631","Tachycineta_thalassina",14.15,9.083333333,"carnivore","C-vertebrates"
"632","Agelaius_phoeniceus",54,20,"herbivore","C-vertebrates"
"633","Dolichonyx_oryzivorus",34.45,9,"herbivore","C-vertebrates"
"634","Euphagus_carolinus",60.4,8.8,"omnivore","C-vertebrates"
"635","Euphagus_cyanocephalus",62.65,12.5,"carnivore","C-vertebrates"
"636","Icterus_bullockii",35.225,14,"carnivore","C-vertebrates"
"637","Icterus_galbula",33.9,14,"carnivore","C-vertebrates"
"638","Icterus_spurius",20.05,10.91666667,"carnivore","C-vertebrates"
"639","Molothrus_ater",42.55,16.91666667,"carnivore","C-vertebrates"
"640","Quiscalus_quiscula",111,23.1,"omnivore","C-vertebrates"
"641","Sturnella_magna",91.855,12.6,"carnivore","C-vertebrates"
"642","Sturnella_neglecta",97.7,10,"carnivore","C-vertebrates"
"643","Xanthocephalus_xanthocephalus",72.5,18,"herbivore","C-vertebrates"
"644","Lanius_excubitor",63.98333334,16.1,"carnivore","C-vertebrates"
"645","Lanius_ludovicianus",47.225,12.5,"carnivore","C-vertebrates"
"646","Dumetella_carolinensis",35.35,17.91666667,"carnivore","C-vertebrates"
"647","Mimus_polyglottos",48.5,20,"omnivore","C-vertebrates"
"648","Toxostoma_rufum",68.65,12.834,"carnivore","C-vertebrates"
"649","Anthus_rubescens",21.18333333,8.916666667,"carnivore","C-vertebrates"
"650","Anthus_spragueii",25.4,NA,"carnivore","C-vertebrates"
"651","Baeolophus_bicolor",21.6,13.3,"carnivore","C-vertebrates"
"652","Poecile_atricapillus",10.8,12.41666667,"carnivore","C-vertebrates"
"653","Poecile_gambeli",11.5185,10.1,"carnivore","C-vertebrates"
"654","Poecile_hudsonicus",9.8,7,"carnivore","C-vertebrates"
"655","Poecile_rufescens",9.7,9.5,"carnivore","C-vertebrates"
"656","Geothlypis_trichas",9.666666667,11.5,"carnivore","C-vertebrates"
"657","Icteria_virens",25.3,8.916666667,"carnivore","C-vertebrates"
"658","Mniotilta_varia",10.9,12.25,"carnivore","C-vertebrates"
"659","Oporornis_agilis",15.25,4.34,"carnivore","C-vertebrates"
"660","Protonotaria_citrea",14.95,8.1,"carnivore","C-vertebrates"
"661","Seiurus_aurocapilla",19.4,11,"carnivore","C-vertebrates"
"662","Setophaga_ruticilla",8.35,10.1,"carnivore","C-vertebrates"
"663","Vermivora_chrysoptera",8.9,7.916666667,"carnivore","C-vertebrates"
"664","Regulus_calendula",6.575,5.6,"carnivore","C-vertebrates"
"665","Regulus_satrapa",6.103333333,6.333333333,"carnivore","C-vertebrates"
"666","Sitta_canadensis",10.35,7.5,"omnivore","C-vertebrates"
"667","Sitta_carolinensis",21,9.834,"carnivore","C-vertebrates"
"668","Sitta_pygmaea",10.6,8.2,"carnivore","C-vertebrates"
"669","Polioptila_caerulea",6.125,4.2,"carnivore","C-vertebrates"
"670","Catherpes_mexicanus",11.625,NA,"carnivore","C-vertebrates"
"671","Cistothorus_palustris",11.25,NA,"carnivore","C-vertebrates"
"672","Cistothorus_platensis",8.55,NA,"carnivore","C-vertebrates"
"673","Salpinctes_obsoletus",16.5,NA,"carnivore","C-vertebrates"
"674","Thryomanes_bewickii",9.9,8,"carnivore","C-vertebrates"
"675","Thryothorus_ludovicianus",19.56666667,9.2,"carnivore","C-vertebrates"
"676","Troglodytes_aedon",11,9,"carnivore","C-vertebrates"
"677","Troglodytes_troglodytes",9.225,7,"carnivore","C-vertebrates"
"678","Catharus_bicknelli",29.65,11.91666667,"carnivore","C-vertebrates"
"679","Catharus_fuscescens",31.925,10.1,"carnivore","C-vertebrates"
"680","Catharus_guttatus",30.55,10.83333333,"carnivore","C-vertebrates"
"681","Catharus_minimus",31.6,7.34,"carnivore","C-vertebrates"
"682","Catharus_ustulatus",30.06666667,12.08333333,"carnivore","C-vertebrates"
"683","Hylocichla_mustelina",48.65,10.16666667,"carnivore","C-vertebrates"
"684","Ixoreus_naevius",79.225,5.6,"carnivore","C-vertebrates"
"685","Myadestes_townsendi",33.475,NA,"carnivore","C-vertebrates"
"686","Sialia_currucoides",29.6,9,"carnivore","C-vertebrates"
"687","Sialia_mexicana",27.05,8.666666667,"carnivore","C-vertebrates"
"688","Sialia_sialis",29.65,10.5,"carnivore","C-vertebrates"
"689","Turdus_migratorius",78.78333333,17,"omnivore","C-vertebrates"
"690","Contopus_cooperi",32.76666667,11.08333333,"carnivore","C-vertebrates"
"691","Contopus_sordidulus",12.85,8.1,"carnivore","C-vertebrates"
"692","Contopus_virens",13.95,8.2,"carnivore","C-vertebrates"
"693","Empidonax_alnorum",13.2,9.083333333,"carnivore","C-vertebrates"
"694","Empidonax_difficilis",10.85,6.916666667,"carnivore","C-vertebrates"
"695","Empidonax_flaviventris",11.85,5,"carnivore","C-vertebrates"
"696","Empidonax_hammondii",10.39166667,7,"carnivore","C-vertebrates"
"697","Empidonax_minimus",10.275,8,"carnivore","C-vertebrates"
"698","Empidonax_oberholseri",10.4,9,"carnivore","C-vertebrates"
"699","Empidonax_traillii",13.25,11,"carnivore","C-vertebrates"
"700","Myiarchus_crinitus",33.275,14.91666667,"carnivore","C-vertebrates"
"701","Sayornis_phoebe",19.7,10.33333333,"carnivore","C-vertebrates"
"702","Sayornis_saya",21,5,"carnivore","C-vertebrates"
"703","Tyrannus_tyrannus",40.125,11.1,"carnivore","C-vertebrates"
"704","Tyrannus_verticalis",39.6,6.916666667,"carnivore","C-vertebrates"
"705","Vireo_cassinii",15.325,7.417,"carnivore","C-vertebrates"
"706","Vireo_flavifrons",18,6.1,"carnivore","C-vertebrates"
"707","Vireo_gilvus",13.0975,13.1,"carnivore","C-vertebrates"
"708","Vireo_huttoni",11.3,13.5,"carnivore","C-vertebrates"
"709","Vireo_olivaceus",16.85,10.2,"carnivore","C-vertebrates"
"710","Vireo_philadelphicus",12.025,9.833333333,"carnivore","C-vertebrates"
"711","Vireo_solitarius",15.55833333,7.417,"carnivore","C-vertebrates"
"712","Pelecanus_erythrorhynchos",6129.5,54,"carnivore","C-vertebrates"
"713","Phalacrocorax_auritus",1876.5,22.5,"carnivore","C-vertebrates"
"714","Phalacrocorax_carbo",2200,27.16666667,"carnivore","C-vertebrates"
"715","Phalacrocorax_penicillatus",2252,18,"carnivore","C-vertebrates"
"716","Morus_bassanus",2999.5,37.417,"carnivore","C-vertebrates"
"717","Colaptes_auratus",130.6716667,12.5,"carnivore","C-vertebrates"
"718","Dryocopus_pileatus",303.875,13,"carnivore","C-vertebrates"
"719","Melanerpes_carolinus",71.775,20.7,"omnivore","C-vertebrates"
"720","Melanerpes_erythrocephalus",71.6,10,"carnivore","C-vertebrates"
"721","Melanerpes_lewis",113,NA,"carnivore","C-vertebrates"
"722","Picoides_arcticus",72,4.916666667,"carnivore","C-vertebrates"
"723","Picoides_dorsalis",56.2,6,"carnivore","C-vertebrates"
"724","Picoides_pubescens",NA,NA,"carnivore","C-vertebrates"
"725","Sphyrapicus_nuchalis",50.3,7.75,"carnivore","C-vertebrates"
"726","Sphyrapicus_ruber",51.45,7.75,"carnivore","C-vertebrates"
"727","Sphyrapicus_varius",50.3,7.75,"carnivore","C-vertebrates"
"728","Aechmophorus_occidentalis",1314,14,"carnivore","C-vertebrates"
"729","Podiceps_auritus",420.5833333,13,"carnivore","C-vertebrates"
"730","Podiceps_grisegena",946.5,11,"omnivore","C-vertebrates"
"731","Podiceps_nigricollis",380,13.08333333,"carnivore","C-vertebrates"
"732","Podilymbus_podiceps",440,NA,"carnivore","C-vertebrates"
"733","Oceanodroma_furcata",57.1,30,"carnivore","C-vertebrates"
"734","Oceanodroma_leucorhoa",40.29,36,"carnivore","C-vertebrates"
"735","Fulmarus_glacialis",785,51,"carnivore","C-vertebrates"
"736","Puffinus_gravis",849,7.1,"carnivore","C-vertebrates"
"737","Puffinus_griseus",787,10.08333333,"carnivore","C-vertebrates"
"738","Aegolius_acadicus",95.625,17.5,"carnivore","C-vertebrates"
"739","Asio_flammeus",343.75,21.8,"carnivore","C-vertebrates"
"740","Asio_otus",262.75,27.8,"carnivore","C-vertebrates"
"741","Athene_cunicularia",150.6,11,"carnivore","C-vertebrates"
"742","Bubo_scandiacus",1954,28,"carnivore","C-vertebrates"
"743","Bubo_virginianus",1377.25,29,"carnivore","C-vertebrates"
"744","Glaucidium_gnoma",65.525,NA,"carnivore","C-vertebrates"
"745","Megascops_asio",NA,NA,"carnivore","C-vertebrates"
"746","Megascops_kennicottii",180,19,"omnivore","C-vertebrates"
"747","Strix_nebulosa",1078.75,27,"carnivore","C-vertebrates"
"748","Strix_varia",716.5,24,"carnivore","C-vertebrates"
"749","Surnia_ulula",308.5,16.16666667,"carnivore","C-vertebrates"
